,size,prob,trial,result
819,2000,0.09,19,11.0
820,2000,0.09,20,11.0
821,2000,0.09,21,11.0
822,2000,0.09,22,10.0
823,2000,0.09,23,11.0
824,2000,0.09,24,10.0
825,2000,0.09,25,10.0
826,2000,0.09,26,11.0
827,2000,0.09,27,11.0
828,2000,0.09,28,11.0
829,2000,0.09,29,11.0
830,2000,0.09,30,11.0
831,2000,0.09,31,11.0
832,2000,0.09,32,11.0
833,2000,0.09,33,9.0
834,2000,0.09,34,12.0
835,2000,0.09,35,10.0
836,2000,0.09,36,10.0
837,2000,0.09,37,12.0
838,2000,0.09,38,9.0
839,2000,0.09,39,11.0
840,2000,0.09,40,11.0
841,2000,0.09,41,12.0
842,2000,0.09,42,11.0
843,2000,0.09,43,10.0
844,2000,0.09,44,10.0
845,2000,0.09,45,12.0
846,2000,0.09,46,10.0
847,2000,0.09,47,12.0
848,2000,0.09,48,10.0
849,2000,0.09,49,11.0
850,2000,0.09,50,10.0
851,2000,0.09,51,9.0
852,2000,0.09,52,10.0
853,2000,0.09,53,10.0
854,2000,0.09,54,11.0
855,2000,0.09,55,10.0
856,2000,0.09,56,11.0
857,2000,0.09,57,10.0
858,2000,0.09,58,10.0
859,2000,0.09,59,10.0
860,2000,0.09,60,11.0
861,2000,0.09,61,10.0
862,2000,0.09,62,11.0
863,2000,0.09,63,10.0
864,2000,0.09,64,10.0
865,2000,0.09,65,11.0
866,2000,0.09,66,9.0
867,2000,0.09,67,9.0
868,2000,0.09,68,10.0
869,2000,0.09,69,12.0
870,2000,0.09,70,10.0
871,2000,0.09,71,11.0
872,2000,0.09,72,10.0
873,2000,0.09,73,10.0
874,2000,0.09,74,10.0
875,2000,0.09,75,10.0
876,2000,0.09,76,12.0
877,2000,0.09,77,13.0
878,2000,0.09,78,11.0
879,2000,0.09,79,11.0
880,2000,0.09,80,10.0
881,2000,0.09,81,12.0
882,2000,0.09,82,10.0
883,2000,0.09,83,10.0
884,2000,0.09,84,11.0
885,2000,0.09,85,12.0
886,2000,0.09,86,10.0
887,2000,0.09,87,11.0
888,2000,0.09,88,12.0
889,2000,0.09,89,10.0
890,2000,0.09,90,8.0
891,2000,0.09,91,9.0
892,2000,0.09,92,11.0
893,2000,0.09,93,9.0
894,2000,0.09,94,11.0
895,2000,0.09,95,10.0
896,2000,0.09,96,9.0
897,2000,0.09,97,12.0
898,2000,0.09,98,11.0
899,2000,0.09,99,10.0
900,2000,0.1,0,9.0
901,2000,0.1,1,11.0
902,2000,0.1,2,10.0
